jalon,km_boundary,km_cross,delta_km,dist_m,acces,road_type,road_name,way_id,lat_cross,lon_cross
14,35.0,36.140272416787965,1.1402724167879654,927.6058149852514,cross,unclassified,Chemin de Mingeat,69134973,45.90472837572904,5.17317710676736
14,35.0,36.183550056039955,1.1835500560399552,962.6618784495035,cross,residential,Chemin de Mingeat,455063020,45.904999922097794,5.173577779933588
15,37.5,36.35263270445862,-1.147367295541379,962.6830057141258,cross,tertiary,D 4B,10569929,45.906279427502454,5.174740648830553
15,37.5,36.4005784116577,-1.0994215883423024,930.1869906797526,cross,service,Parking des Combes,68991833,45.905940855990195,5.17512436321111
15,37.5,36.45526460998374,-1.0447353900162568,894.8191486468583,cross,tertiary,Route de la Cité,384001784,45.905554686092024,5.175562022429038
15,37.5,36.554523058185296,-0.9454769418147038,818.8823022703571,cross,tertiary,Route de la Cité,976067744,45.90500248380062,5.1765624838006215
15,37.5,36.56481033349637,-0.9351896665036321,812.5395324703042,cross,unclassified,Chemin du Saut,232993993,45.90507842338156,5.176638423381564
15,37.5,36.572624944108654,-0.9273750558913463,805.3996929504867,cross,service,,991913197,45.905109531990924,5.176728595972772
15,37.5,36.67088282051459,-0.829117179485408,720.3044753044401,cross,service,,455058150,45.905558954158266,5.177817800126008
15,37.5,36.82955969571772,-0.6704403042822804,575.4797937528889,cross,unclassified,Chemin de Refurieux,69558960,45.9060346571739,5.179735271630325
15,37.5,36.98641419733343,-0.5135858026665687,424.18660282853443,cross,unclassified,Chemin de l'Olivet,35535694,45.906135863630986,5.181731960304534
